wavelength    sp. radiance      radiance
  (angstroms)   (W/cm2-sr-mi)    (W/cm2-sr)
     855.5000    3.387390E+02  0.000000E+00
     855.6000    3.477618E+02  3.432504E-03
     855.7000    3.566658E+02  6.954643E-03
     855.8000    3.654352E+02  1.056515E-02
     855.9000    3.740546E+02  1.426260E-02
     856.0000    3.825094E+02  1.804542E-02
     856.1000    3.907858E+02  2.191189E-02
     856.2000    3.988705E+02  2.586017E-02
     856.3000    4.067509E+02  2.988828E-02
     856.4000    4.144159E+02  3.399412E-02
     856.5000    4.218546E+02  3.817547E-02
     856.6000    4.290576E+02  4.243003E-02
     856.7000    4.360163E+02  4.675540E-02
     856.8000    4.427230E+02  5.114910E-02
     856.9000    4.491713E+02  5.560857E-02
     857.0000    4.553557E+02  6.013120E-02
     857.1000    4.612719E+02  6.471434E-02
     857.2000    4.669166E+02  6.935528E-02
     857.3000    4.722874E+02  7.405130E-02
     857.4000    4.773832E+02  7.879965E-02
